TEAM	PPG	PPGA	OVERS	OVERS AVG	TT OVERS	TT AVG	TOT TDS	TOT TDS AVG	TOT TDS ALLOWED	TOT TDS ALLOWED AVG
JAX	23.9	21.4	44,47,38,40,61,19,50,48,24,50,55,54,58,74,22,34,36,61,47	45.4	17,27,17,17,27,6,21,38,24,22,28,14,36,40,19,31,20,31,20	23.9	4,2,4,1,6,4,1,3,2,3,2,2,4,0,4,4,3,2	2.8	3,1,0,0,4,3,4,2,0,4,2,3,2,4,1,4,1,0,4	2.2
KC	29.1	21.6	44,37,67,44,59,72,37,51,65,57,36,51,62,54,34,51,44,47	50.7	27,20,44,20,30,41,17,27,44,30,26,24,34,30,24,27,31,27	29.1	4,4,3,4,5,3,2,3,4,2,6,2,4,5,2,4,6	3.7	0,1,3,1,3,4,3,1,3,2,2,0,2,3,3,4,2,3,3	2.3
-	-	-	-	-	-	-	-	-	-	-
NYG	21.2	22.8	40,40,40,44,49,32,39,35,41,49,48,40,70,32,51,48,38,55,45	44.0	24,13,23,24,27,20,16,19,21,18,20,20,22,20,24,38,16,31,7	21.2	4,2,6,2,2,3,2,2,3,3,1,2,3,3,2,1,1,3	2.5	3,1,1,3,1,6,2,4,4,1,0,3,2,2,2,0,2,1,2	2.1
PHI	28.6	19.5	53,46,48,43,37,50,32,31,73,33,73,45,70,45,74,30,38,45	48.1	21,29,35,26,20,29,24,24,38,17,40,35,48,25,34,10,22,38	28.6	1,1,5,3,6,5,5,2,3,4,5,3,2,4,3,3,6	3.6	0,2,3,4,3,3,1,4,1,3,2,1,0,2,2,4,1,1,5	2.2
-	-	-	-	-	-	-	-	-	-	-
CIN	26.0	19.9	63,45,52,56,36,42,39,37,43,67,36,51,33,57,40,43,41	45.9	42,13,35,30,17,27,27,17,20,37,20,27,23,34,22,27,24	26.0	3,3,0,3,4,3,3,2,4,6,2,5,4,2,3,3,1,2	2.9	2,1,0,4,3,1,3,0,3,0,3,4,2,2,1,1,0,2,3	1.8
BUF	28.8	18.6	63,37,44,44,41,43,40,48,41,54,53,34,32,61,48,58,65	47.4	30,17,27,24,38,23,19,41,31,31,28,24,20,32,35,35,34	28.8	4,5,0,5,4,2,3,3,2,3,2,3,3,5,2,2,6,4	3.2	3,3,0,1,3,1,1,3,3,4,2,2,0,2,0,2,3,1,1	1.8
-	-	-	-	-	-	-	-	-	-	-
DAL	27.7	19.8	59,78,30,43,32,35,39,37,22,43,48,73,50,74,74,40,32,45	47.4	28,49,24,17,22,25,23,20,3,40,28,54,27,34,40,27,6,31	27.7	5,1,3,4,4,3,8,4,4,4,7,3,2,2,2,2,2,0	3.3	2,4,1,5,6,2,2,2,0,4,0,4,0,3,1,1,1,1,1	2.1
SF	27.3	16.7	38,45,67,42,52,33,21,34,29,48,13,50,42,34,57,71,51,64	43.9	22,31,23,14,37,24,10,27,10,38,13,33,35,21,37,37,38,41	27.3	4,5,4,4,3,5,3,1,5,2,4,2,2,6,4,1,3,1	3.3	3,2,4,3,1,1,2,0,1,1,0,2,6,4,1,0,1,1,3	1.9
-	-	-	-	-	-	-	-	-	-	-
